Measure,Training,Test
Min Accuracy,0.9467735183302434,0.9429131103959704
Max Accuracy,0.9560557341907824,0.9546054918317692
Mean Accuracy,0.952010352903744,0.9497223841533646
Stdev Accuracy,0.002899390942778109,0.0038352460107668137
Min Run-Time,1.9684958457946777,NaN
Max Run-Time,4.490131378173828,NaN
Mean Run-Time,2.289205050468445,NaN
Stdev Run-Time,0.736173083734876,NaN
