Measure,Training,Test
Min Accuracy,0.8867806131596246,0.8847186881538026
Max Accuracy,0.8908336071204563,0.8913104414856342
Mean Accuracy,0.8883307408234351,0.8883379958485638
Stdev Accuracy,0.001166991577489738,0.0016895704175209413
Min Run-Time,3.111285924911499,NaN
Max Run-Time,6.2838335037231445,NaN
Mean Run-Time,4.67390296459198,NaN
Stdev Run-Time,0.9190877825268376,NaN
